condition,molecule,mean,sem
2_1,IturinA,0.02352843378923311,0.006775230076904879
2_1,SurfactinB,0.06527865815972943,0.01625637378350271
2_1,SurfactinC,0.20360243949632706,0.04566375614975532
2_1,SurfactinD,0.06804267878445841,0.013488674139883531
2_2,IturinA,0.848865771157913,0.05914974807012222
2_2,SurfactinB,0.7611474501795147,0.06222022995020498
2_2,SurfactinC,0.8177811758444327,0.07604804406300632
2_2,SurfactinD,0.8881283508885094,0.051902713551393954
2_3,IturinA,1.2548544193569622,0.2099097637496808
2_3,SurfactinB,0.8433892762521534,0.04387529609821459
2_3,SurfactinC,0.8997133201666158,0.15056745310628925
2_3,SurfactinD,1.236465290821747,0.13665323546025007
2_4,IturinA,0.7708598209000052,0.07128507062120405
2_4,SurfactinB,0.4666893444799992,0.04400382858356472
2_4,SurfactinC,0.4614653770341494,0.05934351050462966
2_4,SurfactinD,0.781599123074478,0.0459587680578048
2_5,IturinA,2.105760286552513,0.9552048978813632
2_5,SurfactinB,1.1891233636267684,0.5484404834792557
2_5,SurfactinC,1.9313907974981932,0.9807208612126678
2_5,SurfactinD,2.325994747851268,1.056510887790664
2_6,IturinA,0.16925294920687942,0.0795501583676679
2_6,SurfactinB,0.17420908002882743,0.07689246767982229
2_6,SurfactinC,0.42363499571159036,0.18295589108654128
2_6,SurfactinD,0.25470845831567374,0.10696189720918414
2_7,IturinA,2.3958705592910214,0.7642809578088587
2_7,SurfactinB,1.4782671510397076,0.5092300731325239
2_7,SurfactinC,2.1690624875076505,0.802012559472818
2_7,SurfactinD,2.472428672732752,0.7840766446267352
